GEOID,Total population,White,Black,Asian,Hispanic
36005045800,5381,20,2018,0,3259
36005046000,3108,127,1758,24,1184
36005046203,7733,740,4246,30,2595
36005046204,6891,198,3873,243,2325
36005046206,4084,315,2467,81,783
36005046207,6351,197,3608,267,2038
36005046208,5879,132,3540,8,1913
36005046209,5039,0,2766,4,2214
36005048401,4213,116,3440,0,488
36005051601,4417,3033,31,87,1187
36081000200,2666,232,187,790,1424
36081000400,4692,144,279,739,3294
36081000600,4379,474,196,398,3237
36081000702,3660,2352,216,468,431
36081000800,3312,300,400,638,1948
36081001000,4845,322,166,956,3323
36081001200,3816,656,47,777,2084
36081001400,4166,704,254,918,2230
36081001600,2478,276,108,481,1436
36081002200,2587,387,30,424,1629
36081002400,2437,333,95,371,1444
36081002600,2149,467,101,354,938
36081002800,3442,512,145,740,1939
36081003000,1702,348,53,187,1080
36081003100,1189,414,25,267,396
36081003200,1690,268,63,510,745
36081003302,1009,147,26,400,415
36081003400,2563,235,45,626,1629
36081003800,2763,347,247,633,1428
36081004001,2231,510,106,334,1181
36081004002,1839,67,148,532,651
36081004200,4187,271,287,2092,1404
36081004300,2069,71,793,219,904
36081004500,3145,2120,66,347,476
36081004700,3932,934,883,531,1357
36081005100,2294,579,86,958,522
36081005200,2811,265,36,1382,973
36081005300,5590,2780,93,1250,1199
36081005500,1215,337,8,322,469
36081005700,4461,1683,131,871,1653
36081006300,5715,2919,106,1487,920
36081006501,3242,1788,49,368,980
36081006502,3923,2223,150,339,1110
36081006900,3912,2135,61,600,997
36081007100,3114,1590,122,383,711
36081007300,3862,2221,62,601,646
36081007500,4369,2105,112,928,853
36081007700,2012,759,15,486,686
36081007900,2649,1024,44,797,627
36081008100,1087,430,37,238,344
36081008300,2211,681,69,281,1013
36081008500,1141,259,24,257,591
36081009400,3195,179,442,1226,843
36081009500,2126,1478,15,335,272
36081009600,3470,142,216,974,620
36081009700,3997,2692,17,516,587
36081009800,2759,41,419,1199,399
36081010000,4247,468,274,1296,1403
36081010100,2463,1699,126,151,322
36081010200,2836,142,336,1440,454
36081010300,4397,2692,191,402,905
36081010400,3450,284,656,942,638
36081010500,5073,2204,266,828,1585
36081010800,3377,93,193,1946,438
36081011000,3163,127,312,753,1252
36081011100,3108,1732,26,119,913
36081011200,2635,478,54,999,776
36081011300,4558,2712,187,385,1088
36081011400,1636,444,23,321,716
36081011500,2498,1842,0,192,296
36081011600,2123,332,13,883,836
36081011700,3850,2539,0,338,911
36081011800,2650,82,135,1192,943
36081011900,1516,839,0,67,515
36081012000,2308,178,206,947,577
36081012100,2041,1453,55,158,359
36081012200,3520,527,215,1193,1125
36081012400,3381,236,929,700,1162
36081012601,2970,146,122,556,1672
36081012602,2781,198,28,931,1317
36081012800,2281,722,45,390,972
36081013200,2031,808,104,378,542
36081013400,5536,1902,722,1064,1545
36081013500,1172,994,6,46,126
36081013800,3819,1431,293,917,930
36081014000,3809,2230,38,741,612
36081014201,4535,239,446,2110,1554
36081014202,2644,199,218,608,1221
36081014300,3876,1981,72,405,1372
36081014400,1810,166,172,717,436
36081014500,2585,1644,49,41,585
36081014700,2863,1784,156,340,462
36081014800,1654,21,212,812,412
36081014900,2152,1273,0,295,553
36081015000,2435,46,440,989,464
36081015100,2832,1704,86,227,709
36081015200,2851,38,378,810,630
36081015300,1884,1068,40,445,264
36081015400,1961,103,348,699,247
36081015600,3037,70,692,1263,361
36081015700,1313,440,62,256,514
36081015801,3673,25,643,1699,347
36081015802,5126,107,762,1174,1070
36081016100,2589,974,56,437,990
36081016300,3675,605,684,330,2043
